Номер игры;Группа;Номер хода;Ник игрока;Отображаемый ник игрока;Кол-во жизней игрока;Убитый игрок;Отображаемый ник убитого игрока;Кол-во жизней убитого игрока;Дата начала хода;Время начала хода;Продожительность хода;
1;1;1;Light1;2;1;1;Light2;3;1;1;Light2;Light2;1;Light3;Light3;0;15.05.2016;23:57:26;9;
3;1;2;Light1;Light1;1;Light2;Light2;0;15.05.2016;23:57:35;11;
4;1;1;Light2;Light2;1;Light1;Light1;0;15.05.2016;23:59:24;5;
4;1;2;Light3;Light3;1;Light2;Light2;0;15.05.2016;23:59:29;10;
5;1;1;Light1;6;1;1;Light3;Light3;1;Light1;Light1;0;16.05.2016;21:49:53;6;
6;1;2;Light2;Light2;1;Light3;Light3;0;16.05.2016;21:50:00;4;
7;1;1;Light1;Light1;1;Light3;Light3;0;16.05.2016;21:53:58;4;
7;1;2;Light2;Light2;1;Light1;Light1;0;16.05.2016;21:54:02;4;
